"","ID","Site.Name","Town..County.State","UNIT_LINK","OBJECTID","STATE","MIN_EON","MIN_ERA","MIN_PERIOD","MIN_EPOCH","MIN_AGE","FULL_MIN","CMIN_AGE","MAX_EON","MAX_ERA","MAX_PERIOD","MAX_EPOCH","MAX_AGE","FULL_MAX","CMAX_AGE","MIN_MA","MAX_MA","AGE_TYPE","AGE_COM"
"37","S_SIGNS_Sta_D","Satilla","Brantley County, GA","GAQwi;1",1060,"GA","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"38","S_SIGNS_Big_D","Big Bend","Baker County, FL","FLPStr;0",897,"FL","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"39","S_SIGNS_Ark_Ark","Arkansas Trace","Ashley County, AR","ARQt;0",247,"AR","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"40","S_SIGNS_Fou_Ark","Fountain Hill","Ashley County, AR","ARQt;0",247,"AR","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"41","S_SIGNS_Wes_Ark","Westline","Sevier County, AR","ARQt;0",247,"AR","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"42","S_SIGNS_Pla_Ark","Plainview","Little River County, AR","ARQal;0",239,"AR","Phanerozoic","Cenozoic","Quaternary","Holocene","","Phanerozoic - Cenozoic - Quaternary - Holocene","Holocene","Phanerozoic","Cenozoic","Quaternary","Holocene","","Phanerozoic - Cenozoic - Quaternary - Holocene","Holocene",0,0.0117,"Relative",""
"43","S_SIGNS_Ros_NLOU","Roscoe","Jackson Parrish, LA","LAEOcf;0",1325,"LA","Phanerozoic","Cenozoic","Tertiary-Paleogene","Eocene","","Phanerozoic - Cenozoic - Tertiary-Paleogene - Eocene","Eocene","Phanerozoic","Cenozoic","Tertiary-Paleogene","Eocene","","Phanerozoic - Cenozoic - Tertiary-Paleogene - Eocene","Eocene",33.9,56,"Relative",""
"44","S_SIGNS_Mon_NLOU","Monticello","Drew County, AR","ARQt;0",247,"AR","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"45","S_SIGNS_Jen1_NLOU","Jena1","LaSalle Parrish, LA","LAQtp;0",1358,"LA","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"46","S_SIGNS_Jen2_NLOU","Jena2","LaSalle Parrish, LA","LAQtp;0",1358,"LA","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene","Phanerozoic","Cenozoic","Quaternary","Pleistocene","","Phanerozoic - Cenozoic - Quaternary - Pleistocene","Pleistocene",0.0117,2.58,"Relative",""
"47","DH2_Gai_DH2","Gainesville","Gainesville, Alachua County, FL","FLMIhc;0",868,"FL","Phanerozoic","Cenozoic","Tertiary-Neogene","Late-Miocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Late-Miocene","Late-Miocene","Phanerozoic","Cenozoic","Tertiary-Neogene","Middle-Miocene","","Phanerozoic - Cenozoic - Tertiary-Neogene - Middle-Miocene","Middle-Miocene",5.333,15.97,"Relative",""
